Ship_Mode,Segment,Country,City,State,Postal_Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second_Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136
Second_Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582
Second_Class,Corporate,United States,Los_Angeles,California,90036,West,Office_Supplies,Labels,14.62,2,0.0,6.8714
Standard_Class,Consumer,United States,Fort_Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031
Standard_Class,Consumer,United States,Fort_Lauderdale,Florida,33311,South,Office_Supplies,Storage,22.368,2,0.2,2.5164
Standard_Class,Consumer,United States,Los_Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694
Standard_Class,Consumer,United States,Los_Angeles,California,90032,West,Office_Supplies,Art,7.28,4,0.0,1.9656
Standard_Class,Consumer,United States,Los_Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152
Standard_Class,Consumer,United States,Los_Angeles,California,90032,West,Office_Supplies,Binders,18.504,3,0.2,5.7825
Standard_Class,Consumer,United States,Los_Angeles,California,90032,West,Office_Supplies,Appliances,114.9,5,0.0,34.47
Standard_Class,Consumer,United States,Los_Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092
Standard_Class,Consumer,United States,Los_Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568
Standard_Class,Consumer,United States,Concord,North_Carolina,28027,South,Office_Supplies,Paper,15.552,3,0.2,5.4432
Standard_Class,Consumer,United States,Seattle,Washington,98103,West,Office_Supplies,Binders,407.976,3,0.2,132.5922
Standard_Class,Home_Office,United States,Fort_Worth,Texas,76106,Central,Office_Supplies,Appliances,68.81,5,0.8,-123.858
Standard_Class,Home_Office,United States,Fort_Worth,Texas,76106,Central,Office_Supplies,Binders,2.544,3,0.8,-3.816
Standard_Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office_Supplies,Storage,665.88,6,0.0,13.3176
Second_Class,Consumer,United States,West_Jordan,Utah,84084,West,Office_Supplies,Storage,55.5,2,0.0,9.99
Second_Class,Consumer,United States,San_Francisco,California,94109,West,Office_Supplies,Art,8.56,2,0.0,2.4824
Second_Class,Consumer,United States,San_Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011
Second_Class,Consumer,United States,San_Francisco,California,94109,West,Office_Supplies,Binders,22.72,4,0.2,7.384
Standard_Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office_Supplies,Art,19.46,7,0.0,5.0596
Standard_Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office_Supplies,Appliances,60.34,7,0.0,15.6884
Second_Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196
Standard_Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649
