Actual,Predicted
264.5865,281.78412
17.3656,18.954897
8.3538,11.481333
31.6,89.73108
74.574,30.334002
25.0938,28.77882
-3.0366,-4.1497307
25.48,22.803556
4.6552,1.996105
2.2155,12.344843
7.3359,7.766744
37.884,38.082417
13.878,14.264603
21.252,15.838475
0.9774,3.3489597
26.598,26.386993
13.941,14.16405
9.3312,10.124957
-10.7964,-14.781187
21.7845,21.644394
6.2608,5.270154
4.6782,6.7928295
113.848,120.932846
14.098,3.630512
-14.7931,20.212736
-34.0704,10.139159
25.47,22.112766
3.8775,2.4832754
467.9922,394.94998
-8.3524,-2.211059
21.2724,33.00433
-3.5622,14.310195
82.2906,77.694275
1.6356,2.7279828
-15.2225,-36.500263
28.6578,25.75488
7.7,4.008644
4.2717,3.8010995
7.5528,-8.777227
2.8478,4.5852833
35.3626,37.933746
0.0,5.0974135
-2.61,-3.574451
-13.993,-12.932636
68.364,66.05287
9.5968,10.252696
2.528,3.8394275
-0.9012,5.9990954
-107.958,-16.295141
11.8272,11.958131
0.0,12.121242
18.144,16.278048
32.4862,36.74685
30.7872,27.344173
6.8714,6.6548443
1.6324,3.0208535
5.256,7.63922
0.4116,1.4808327
12.5328,10.425439
91.9508,89.842064
43.45,25.14725
23.6808,18.374203
6.168,9.978655
15.196,11.459744
11.1132,10.642145
269.308,374.73434
4.8804,6.2765474
9.3906,10.124957
9.6192,10.124957
1.5008,1.996105
8.8624,7.6352725
8.8008,6.047924
-6.03,-5.455179
-1.9872,-1.413657
3.8448,3.888703
-25.056,-21.289576
7.0224,7.6896963
10.062,9.022371
20.878,13.720091
-304.6653,-309.76532
67.86,52.612885
52.6344,51.850227
28.497,22.947565
2.8392,15.39237
383.931,343.04523
27.248,24.662058
59.0372,45.21631
1.773,1.5360879
8.8624,7.6666093
22.992,21.30948
122.2936,101.772675
381.297,338.10754
29.7024,28.313766
6.4128,7.2732735
14.6718,13.914549
39.5,108.57197
10.08,10.024294
6.552,7.4768295
-16.0784,0.77395844
8.2616,9.288935
41.1208,35.012283
3.5256,4.6501164
31.0184,35.39205
41.993,56.13157
585.552,454.74005
2.4864,2.2502375
19.824,-19.172405
29.1528,77.34471
4.2336,4.444669
6.045,8.246256
-13.433,-57.27094
5.484,6.268121
7.9488,8.394626
-75.8304,-86.86074
36.4044,38.929607
-12.7302,10.175331
22.2,14.364155
63.4368,33.647453
11.586,15.838974
0.6624,0.42475736
-24.416,-24.761225
15.9348,13.16614
1.5548,5.151168
8.388,4.492125
16.608,15.427672
11.996,11.94344
22.2384,19.599585
11.556,12.68733
-7.1991,9.06945
28.1718,26.79977
15.525,17.034575
2.772,1.9569063
28.65,27.295116
6.104,6.246732
6.93,7.7035294
-46.7362,-28.420214
-30.16,-35.478764
10.3936,6.854316
60.4968,55.54418
24.4758,12.657264
0.3399,4.488831
30.52,27.416004
16.196,60.573364
-46.8776,-46.33502
3.5475,4.114787
8.0997,6.8479238
-24.4764,-19.668974
7.0854,7.561812
16.544,15.903619
15.3426,13.309026
1.116,3.8395717
56.9772,50.60196
18.28,16.357128
125.469,135.22444
